secname,filename,entitytype,assetclass,reportdate,url
Ally Auto Receivables Trust 2017-1,Ally_Auto_Receivables_Trust_2017-1_20170525_0001679731-17-000023.xml,Trust,Auto Loans,20170525,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000023/ex102apr2017aart201711.xml
Ally Auto Receivables Trust 2017-1,Ally_Auto_Receivables_Trust_2017-1_20170427_0001679731-17-000017.xml,Trust,Auto Loans,20170427,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000017/ex102mar2017aart201711.xml
Ally Auto Receivables Trust 2017-1,Ally_Auto_Receivables_Trust_2017-1_20170328_0001679731-17-000012.xml,Trust,Auto Loans,20170328,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000012/ex102feb2017aart201711.xml
Ally Auto Receivables Trust 2017-1,Ally_Auto_Receivables_Trust_2017-1_20170216_0001679731-17-000006.xml,Trust,Auto Loans,20170216,https://www.sec.gov//Archives/edgar/data/1477336/000167973117000006/ex102aart20171jan2017.xml
California Republic Auto Receivables Trust 2017-1,California_Republic_Auto_Receivables_Trust_2017-1_20170515_0000950131-17-000201.xml,Trust,Auto Loans,20170515,https://www.sec.gov//Archives/edgar/data/1694276/000095013117000201/mblnex102apr17_0511-1750.xml
California Republic Auto Receivables Trust 2017-1,California_Republic_Auto_Receivables_Trust_2017-1_20170414_0000950131-17-000133.xml,Trust,Auto Loans,20170414,https://www.sec.gov//Archives/edgar/data/1694276/000095013117000133/mblnex102mar17_0413-0909.xml
California Republic Auto Receivables Trust 2017-1,California_Republic_Auto_Receivables_Trust_2017-1_20170315_0000950131-17-000092.xml,Trust,Auto Loans,20170315,https://www.sec.gov//Archives/edgar/data/1694276/000095013117000092/mblnex102feb17_0310-1721.xml
CarMax Auto Owner Trust 2017-1,CarMax_Auto_Owner_Trust_2017-1_20170515_0001693819-17-000016.xml,Trust,Auto Loans,20170515,https://www.sec.gov//Archives/edgar/data/1693819/000169381917000016/cart20171.xml
CarMax Auto Owner Trust 2017-1,CarMax_Auto_Owner_Trust_2017-1_20170417_0001693819-17-000012.xml,Trust,Auto Loans,20170417,https://www.sec.gov//Archives/edgar/data/1693819/000169381917000012/cart20171.xml
CarMax Auto Owner Trust 2017-1,CarMax_Auto_Owner_Trust_2017-1_20170315_0001693819-17-000008.xml,Trust,Auto Loans,20170315,https://www.sec.gov//Archives/edgar/data/1693819/000169381917000008/cart20171.xml
CarMax Auto Owner Trust 2017-1,CarMax_Auto_Owner_Trust_2017-1_20170215_0001693819-17-000004.xml,Trust,Auto Loans,20170215,https://www.sec.gov//Archives/edgar/data/1693819/000169381917000004/cart20171.xml
CarMax Auto Owner Trust 2017-1,CarMax_Auto_Owner_Trust_2017-1_20170113_0001259380-17-000007.xml,Trust,Auto Loans,20170113,https://www.sec.gov//Archives/edgar/data/1259380/000125938017000007/cart20171b.xml
CarMax Auto Owner Trust 2017-1,CarMax_Auto_Owner_Trust_2017-1_20170113_0001259380-17-000009.xml,Trust,Auto Loans,20170113,https://www.sec.gov//Archives/edgar/data/1259380/000125938017000009/cart20171u.xml
Ford Credit Auto Owner Trust 2017-A,Ford_Credit_Auto_Owner_Trust_2017-A_20170526_0001692310-17-000020.xml,Trust,Auto Loans,20170526,https://www.sec.gov//Archives/edgar/data/1692310/000169231017000016/autoloanmonthlydealf866.xml
Ford Credit Auto Owner Trust 2017-A,Ford_Credit_Auto_Owner_Trust_2017-A_20170428_0001692310-17-000016.xml,Trust,Auto Loans,20170428,https://www.sec.gov//Archives/edgar/data/1692310/000169231017000011/autoloanmonthlydealf866.xml
Ford Credit Auto Owner Trust 2017-A,Ford_Credit_Auto_Owner_Trust_2017-A_20170327_0001692310-17-000011.xml,Trust,Auto Loans,20170327,https://www.sec.gov//Archives/edgar/data/1692310/000169231017000007/autoloanmonthlydeal866.xml
Ford Credit Auto Owner Trust 2017-A,Ford_Credit_Auto_Owner_Trust_2017-A_20170223_0001692310-17-000007.xml,Trust,Auto Loans,20170223,https://www.sec.gov//Archives/edgar/data/1692310/000169231017000007/ardmonthlyretailfinal.xml
Honda Auto Receivables 2017-1 Owner Trust,Honda_Auto_Receivables_2017-1_Owner_Trust_20170314_0000950131-17-000083.xml,Trust,Auto Loans,20170314,https://www.sec.gov//Archives/edgar/data/890975/000095013117000083/hndlnex102feb17_0309-1655.xml
Hyundai Auto Receivables Trust 2017-A,Hyundai_Auto_Receivables_Trust_2017-A_20170425_0001144204-17-021953.xml,Trust,Auto Loans,20170425,https://www.sec.gov//Archives/edgar/data/1260125/000114420417021953/v465102_ex102.xml
Hyundai Auto Receivables Trust 2017-A,Hyundai_Auto_Receivables_Trust_2017-A_20170315_0001144204-17-014722.xml,Trust,Auto Loans,20170315,https://www.sec.gov//Archives/edgar/data/1260125/000114420417014722/v461912_ex102.xml
Nissan Auto Receivables 2017-A Owner Trust,Nissan_Auto_Receivables_2017-A_Owner_Trust_20170426_0000950131-17-000154.xml,Trust,Auto Loans,20170426,https://www.sec.gov//Archives/edgar/data/1129068/000095013117000154/nislnex102mar17_0424-1207.xml
Nissan Auto Receivables 2017-A Owner Trust,Nissan_Auto_Receivables_2017-A_Owner_Trust_20170315_0000950131-17-000086.xml,Trust,Auto Loans,20170315,https://www.sec.gov//Archives/edgar/data/1129068/000095013117000086/nislnex102feb17_0314-1525.xml
Santander Drive Auto Receivables Trust 2017-1,Santander_Drive_Auto_Receivables_Trust_2017-1_20170515_0000950131-17-000199.xml,Trust,Auto Loans,20170515,https://www.sec.gov//Archives/edgar/data/1383094/000095013117000199/san1lnex102apr17_0509-1141.xml
Santander Drive Auto Receivables Trust 2017-1,Santander_Drive_Auto_Receivables_Trust_2017-1_20170417_0000950131-17-000134.xml,Trust,Auto Loans,20170417,https://www.sec.gov//Archives/edgar/data/1383094/000095013117000134/sanlnex102mar17_0412-1702.xml
Santander Drive Auto Receivables Trust 2017-1,Santander_Drive_Auto_Receivables_Trust_2017-1_20170315_0000950131-17-000090.xml,Trust,Auto Loans,20170315,https://www.sec.gov//Archives/edgar/data/1383094/000095013117000090/sanlnex102feb17_0313-1737.xml
Santander Drive Auto Receivables Trust 2017-1,Santander_Drive_Auto_Receivables_Trust_2017-1_20170216_0000950131-17-000040.xml,Trust,Auto Loans,20170216,https://www.sec.gov//Archives/edgar/data/1383094/000095013117000040/sanlnex102jan17_021517-1238.xml
Toyota Auto Receivables 2017-A Owner Trust,Toyota_Auto_Receivables_2017-A_Owner_Trust_20170425_0000950131-17-000147.xml,Trust,Auto Loans,20170425,https://www.sec.gov//Archives/edgar/data/1131131/000095013117000147/toylnex102mar17_0421-1057-1.xml
Toyota Auto Receivables 2017-A Owner Trust,Toyota_Auto_Receivables_2017-A_Owner_Trust_20170227_0000950131-17-000068.xml,Trust,Auto Loans,20170227,https://www.sec.gov//Archives/edgar/data/1131131/000095013117000068/toylnex102jan17_022717-1109.xml
Toyota Auto Receivables 2017-B Owner Trust,Toyota_Auto_Receivables_2017-B_Owner_Trust_20170502_0000950131-17-000183.xml,Trust,Auto Loans,20170502,https://www.sec.gov//Archives/edgar/data/1131131/000095013117000183/toylnex102mar17_0426-1732bs.xml
Toyota Auto Receivables 2017-B Owner Trust,Toyota_Auto_Receivables_2017-B_Owner_Trust_20170502_0000950131-17-000186.xml,Trust,Auto Loans,20170502,https://www.sec.gov//Archives/edgar/data/1131131/000095013117000186/toylnex102mar17_0501-1745upe.xml
World Omni Auto Receivables Trust 2017-A,World_Omni_Auto_Receivables_Trust_2017-A_20170405_0001144204-17-019135.xml,Trust,Auto Loans,20170405,https://www.sec.gov//Archives/edgar/data/1083199/000114420417019135/v462727_ex102.xml
World Omni Auto Receivables Trust 2017-A,World_Omni_Auto_Receivables_Trust_2017-A_20170405_0001144204-17-019136.xml,Trust,Auto Loans,20170405,https://www.sec.gov//Archives/edgar/data/1083199/000114420417019136/v462809_ex102.xml
World Omni Auto Receivables Trust 2017-A,World_Omni_Auto_Receivables_Trust_2017-A_20170405_0001144204-17-019136.xml,Trust,Auto Loans,20170405,https://www.sec.gov//Archives/edgar/data/1083199/000114420417019136/v462809_ex102.xml